t;p.can_tdist;p.can_tfuel
1530517411;3948900;19303
1530517417;3948900;19308
1530517422;3948900;19308
1530517425;3948900;19308
1530517484;3948900;19320
1530517544;3948900;19325
1530517570;3948900;19331
1530518208;3948900;19331
1530518208;3948900;19331
1530518209;3948900;19331
1530518213;3948900;19336
1530518215;3948900;19336
1530518217;3948900;19336
1530518223;3948900;19342
1530518224;3948900;19342
1530518226;3948900;19342
1530518280;3949600;19376
1530518313;3950000;19398
1530518324;3950100;19398
1530518328;3950100;19404
1530518330;3950200;19409
1530518338;3950200;19415
1530518361;3950700;19426
1530518363;3950700;19432
1530518376;3950800;19437
1530518377;3950800;19443
1530518418;3951200;19471
1530518423;3951200;19471
1530518428;3951300;19471
1530518437;3951300;19476
1530518446;3951300;19476
1530528809;3951300;19476
1530528809;3951300;19476
1530528813;3951300;19476
1530528815;3951300;19476
1530528817;3951300;19482
1530528819;3951300;19482
1530528826;3951300;19482
1530528829;3951300;19482
1530528835;3951300;19488
1530528836;3951300;19488
1530528838;3951400;19493
1530528847;3951400;19499
1530528848;3951400;19499
1530528868;3951600;19516
1530528873;3951700;19516
1530528902;3952000;19544
1530528924;3952300;19555
1530528929;3952300;19555
1530528967;3952300;19566
1530529143;3952300;19566
1530529143;3952300;19566
1530529175;3952700;19600
1530529190;3952900;19611
1530529195;3953000;19616
1530529201;3953000;19616
1530529204;3953000;19622
1530529223;3953200;19633
1530529226;3953200;19633
1530529227;3953200;19633
1530529236;3953300;19633
1530529251;3953300;19639
1530529257;3953300;19639
1530529260;3953300;19639
1530529261;3953300;19639
1530529265;3953300;19639
1530529338;3953300;19639
1530550957;3953300;19639
1530572578;3953300;19639
1530594197;3953300;19639
1530598982;3953300;19639
1530598982;3953300;19639
1530598984;3953300;19644
1530598989;3953300;19644
1530598990;3953300;19644
1530598994;3953300;19650
1530598997;3953300;19650
1530598999;3953300;19650
1530599002;3953300;19650
1530599003;3953300;19650
1530599008;3953300;19650
1530599033;3953300;19661
1530599036;3953300;19661
1530599040;3953400;19661
1530599047;3953400;19667
1530599049;3953400;19672
1530599063;3953600;19689
1530599069;3953600;19689
1530599071;3953600;19695
1530599075;3953700;19700
1530599089;3953900;19712
1530599096;3953900;19712
1530599109;3954100;19723
1530599111;3954100;19723
1530599151;3954500;19745
1530599185;3954900;19762
1530599191;3954900;19762
1530599194;3955000;19768
1530599266;3955300;19812
1530599326;3956300;19857
1530599386;3957200;19885
1530599417;3957600;19896
1530599477;3957800;19930
1530599523;3958700;19980
1530599583;3959800;20008
1530599634;3960600;20042
1530599670;3961200;20059
1530599730;3962000;20081
1530599776;3962300;20092
1530599778;3962300;20098
1530599787;3962400;20143
1530599829;3963100;20182
1530599851;3963200;20199
1530599870;3963300;20216
1530599919;3963800;20249
1530599930;3963900;20249
1530599936;3964000;20255
1530599940;3964000;20255
1530600014;3964800;20305
1530600073;3965100;20333
1530600075;3965100;20333
1530600076;3965100;20333
1530600093;3965300;20339
1530600095;3965300;20339
1530600098;3965400;20344
1530600108;3965500;20350
1530600151;3966500;20395
1530600211;3967700;20456
1530600257;3968200;20479
1530600265;3968400;20490
1530600326;3969300;20535
1530600386;3970100;20591
1530600446;3970800;20608
1530600506;3971700;20652
1530600566;3973000;20792
1530600603;3973900;20837
1530600606;3974000;20837
1530600609;3974000;20837
1530600612;3974100;20848
1530600623;3974300;20865
1530600658;3975100;20916
1530600661;3975200;20921
1530600769;3977500;21005
1530600829;3978700;21033
1530600889;3979800;21067
1530600950;3980800;21100
1530601010;3981500;21156
1530601035;3981800;21196
1530601040;3981800;21196
1530601100;3982700;21257
1530601160;3983800;21291
1530601220;3984800;21324
1530601275;3985800;21392
1530601287;3986000;21397
1530601291;3986100;21403
1530601296;3986200;21408
1530601301;3986300;21408
1530601362;3986900;21436
1530601422;3987200;21470
1530601502;3987700;21526
1530601562;3988200;21565
1530601622;3988200;21576
1530601663;3988200;21593
1530601664;3988200;21593
1530601696;3988400;21616
1530601698;3988400;21616
1530601755;3988500;21632
1530602634;3988500;21632
1530602634;3988500;21632
1530602688;3988700;21660
1530621947;3988700;21660
1530621947;3988700;21660
1530622006;3988900;21694
1530622008;3988900;21700
1530622009;3988900;21700
1530622010;3988900;21700
1530622011;3988900;21700
1530622014;3988900;21700
1530622016;3988900;21700
1530622027;3989000;21705
1530622031;3989000;21711
1530622044;3989100;21716
1530622090;3989100;21733
1530622094;3989100;21733
1530622095;3989100;21733
1530622097;3989100;21733
1530622101;3989100;21733
1530622105;3989100;21739
1530622164;3989300;21761
1530622185;3989300;21767
1530622189;3989400;21778
1530622248;3990300;21823
1530622308;3990400;21856
1530622368;3990900;21890
1530622396;3991100;21907
1530622412;3991300;21929
1530622448;3991300;21957
1530622476;3991600;21991
1530622525;3992200;22013
1530622558;3992600;22041
1530622562;3992700;22041
1530622579;3992900;22058
1530622587;3993000;22058
1530622590;3993000;22058
1530622617;3993000;22069
1530622635;3993100;22086
1530622695;3993500;22131
1530622714;3993600;22148
1530622774;3994100;22181
1530622834;3994100;22204
1530622855;3994200;22215
1530622930;3994500;22254
1530622990;3995200;22288
1530623050;3995900;22321
1530623108;3996100;22344
1530623110;3996100;22344
1530623134;3996100;22355
1530623154;3996300;22377
1530623156;3996300;22377
1530623215;3996800;22422
1530623275;3996800;22439
1530623335;3996900;22456
1530623350;3996900;22461
1530623395;3997300;22500
1530623397;3997300;22500
1530623408;3997400;22512
1530623410;3997400;22512
1530623427;3997500;22523
1530623429;3997500;22523
1530623435;3997500;22523
1530624091;3997500;22523
1530624091;3997500;22523
1530624102;3997500;22540
1530624104;3997500;22540
1530624111;3997600;22540
1530624112;3997600;22545
1530624118;3997600;22545
1530624148;3997800;22573
1530624180;3998000;22607
1530624200;3998000;22607
1530624200;3998000;22607
1530624222;3998300;22629
1530624284;3998300;22629
1530624295;3998300;22629
1530624298;3998300;22629
1530624326;3999200;22713
1530624335;3999200;22713
1530624377;3999200;22713
1530624384;3999300;22741
1530624397;3999300;22741
1530624428;3999300;22741
1530624470;3999300;22741
1530624481;3999300;22741
1530624522;3999300;22741
1530624533;3999300;22741
1530624576;3999300;22741
1530624642;3999300;22741
1530624713;4000000;22842
1530624713;4000000;22842
1530624763;4000000;22842
1530624774;4000000;22842
1530624775;4000000;22842
1530624778;4000100;22864
1530624779;4000100;22864
1530624828;4000100;22864
1530624828;4000100;22864
1530624847;4000400;22904
1530624878;4000800;22926
1530624881;4000800;22932
1530624893;4001000;22937
1530624916;4001100;22948
1530624922;4001100;22948
1530624945;4001100;22948
1530624960;4001100;22948
1530624970;4001100;22948
1530624975;4001100;22948
1530625035;4001900;22993
1530625040;4001900;22993
1530625051;4001900;22993
1530625062;4001900;22993
1530625073;4001900;22993
1530625083;4001900;22993
1530625132;4002500;23044
1530625146;4002500;23044
1530625157;4002500;23044
1530625168;4002500;23044
1530625179;4002500;23044
1530625190;4002500;23044
1530625201;4002500;23044
1530625212;4002500;23044
1530625223;4002500;23044
1530625234;4002500;23044
1530625242;4002500;23044
1530625302;4006000;23217
1530625362;4007100;23268
1530625422;4008100;23296
1530625453;4008400;23307
1530625466;4008400;23307
1530625477;4008400;23307
1530625487;4008400;23307
1530625502;4008900;23335
1530625508;4008900;23340
1530625513;4009000;23346
1530625573;4010000;23408
1530625633;4011200;23447
1530625678;4011900;23475
1530625681;4011900;23475
1530625686;4011900;23480
1530625689;4011900;23480
1530625705;4011900;23480
1530625716;4011900;23480
1530625727;4011900;23480
1530625738;4011900;23480
1530625749;4011900;23480
1530625760;4011900;23480
1530625771;4011900;23480
1530625794;4011900;23480
1530625794;4011900;23480
1530625802;4011900;23480
1530625802;4011900;23480
1530625807;4013100;23570
1530625812;4013200;23570
1530625822;4013300;23576
1530625870;4013700;23598
1530625882;4013700;23598
1530625973;4013700;23598
1530625984;4013700;23598
1530625995;4013700;23598
1530625998;4013700;23598
1530626009;4014100;23648
1530626069;4014800;23665
1530626129;4015500;23704
1530626183;4016300;23732
1530626243;4017100;23749
1530626257;4017300;23755
1530626317;4018200;23805
1530626350;4018900;23822
1530626408;4019600;23850
1530626422;4019800;23856
1530626433;4019900;23889
1530626492;4020800;23923
1530626553;4021700;23962
1530626584;4022200;23973
1530626638;4022800;24012
1530626653;4023000;24024
1530626656;4023000;24029
1530626658;4023000;24029
1530626669;4023200;24068
1530626689;4023500;24085
1530626696;4023500;24091
1530626699;4023500;24091
1530626705;4023600;24096
1530626719;4023700;24108
1530626721;4023700;24108
1530626763;4024100;24130
1530626765;4024100;24130
1530626771;4024100;24136
1530626774;4024100;24136
1530626777;4024200;24136
1530627041;4024200;24136
1530627041;4024200;24136
1530627046;4024200;24141
1530627048;4024200;24141
1530627053;4024200;24147
1530627055;4024200;24152
1530627057;4024200;24152
1530627075;4024400;24169
1530627077;4024400;24175
1530627087;4024500;24197
1530627106;4024900;24242
1530627115;4025100;24248
1530627123;4025200;24253
1530627153;4025500;24264
1530627159;4025600;24298
1530627183;4026000;24304
1530627184;4026000;24304
1530627190;4026000;24309
